site_code,marine_season_code,marine_common_season,target_assemblage,survey_type_code,species_code,average_percent_cover,num_plots_sampled,stddev,stderr
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,ARTCOR,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,CHITON,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,CHOCAN,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,CHTBAL,25,5,20.90454496,9.348796714
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,CLACOL,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,CRUCOR,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,EGRMEN,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,EISARB,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,ENDMUR,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,ENPEPH,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,FUCGAR,50.4,5,21.48953234,9.610411021
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,HALSTE,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,HESCAL,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,LIMPET,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,LOTGIG,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,MASSPP,7.2,5,4.147288271,1.854723699
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,MAZAFF,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,MAZSPP,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,MYTCAL,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,MYTTRO,0.2,5,0.447213595,0.2
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,NEOLAR,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,NONCRU,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,OTHALG,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,OTHBAR,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,OTHBRO,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,OTHGRE,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,OTHINV,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,OTHRED,0.2,5,0.447213595,0.2
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,OTHSUB,0.6,5,0.894427191,0.4
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,PELLIM,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,PHRSAB,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,PHYSPP,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,PISOCH,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,POLPOL,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,PORSPP,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,ROCK,16.4,5,7.092249291,3.171750305
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,SAND,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,SARMUT,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,SCYSPP,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,SEMCAR,0,5,0,0
MAN,SU22,166,chthamalus_balanus,photo_plot_surveys,SILCOM,0,5,0,0
